Animation,Comparisons,CorrCoef_Score
AU01,Ada_vs_Garry,0.9513
AU02,Ada_vs_Garry,0.9415
AU04,Ada_vs_Garry,0.8503
AU06,Ada_vs_Garry,0.7106
AU07,Ada_vs_Garry,0.3736
AU10,Ada_vs_Garry,0.9356
AU12,Ada_vs_Garry,0.9761
AU14,Ada_vs_Garry,0.9486
AU15,Ada_vs_Garry,0.7821
AU17,Ada_vs_Garry,0.5550
AU23,Ada_vs_Garry,0.7684
browsAll,Ada_vs_Garry,0.8750
browsAU10,Ada_vs_Garry,0.9617
browsAU12,Ada_vs_Garry,0.8885
browsAU14,Ada_vs_Garry,0.8333
browsAU15,Ada_vs_Garry,0.5933
browsAU17,Ada_vs_Garry,0.8242
browsAU23,Ada_vs_Garry,0.8462
AU01,Ada_vs_Cooper,0.9782
AU02,Ada_vs_Cooper,0.9573
AU04,Ada_vs_Cooper,0.9561
AU06,Ada_vs_Cooper,0.7453
AU07,Ada_vs_Cooper,0.2282
AU10,Ada_vs_Cooper,0.9593
AU12,Ada_vs_Cooper,0.9854
AU14,Ada_vs_Cooper,0.9809
AU15,Ada_vs_Cooper,0.8560
AU17,Ada_vs_Cooper,0.8952
AU23,Ada_vs_Cooper,0.7755
browsAll,Ada_vs_Cooper,0.9324
browsAU10,Ada_vs_Cooper,0.9799
browsAU12,Ada_vs_Cooper,0.9514
browsAU14,Ada_vs_Cooper,0.8808
browsAU15,Ada_vs_Cooper,0.8745
browsAU17,Ada_vs_Cooper,0.9114
browsAU23,Ada_vs_Cooper,0.9351
AU01,Garry_vs_Cooper,0.9622
AU02,Garry_vs_Cooper,0.9864
AU04,Garry_vs_Cooper,0.7962
AU06,Garry_vs_Cooper,0.7391
AU07,Garry_vs_Cooper,0.7508
AU10,Garry_vs_Cooper,0.9674
AU12,Garry_vs_Cooper,0.9897
AU14,Garry_vs_Cooper,0.9489
AU15,Garry_vs_Cooper,0.8832
AU17,Garry_vs_Cooper,0.6708
AU23,Garry_vs_Cooper,0.7084
browsAll,Garry_vs_Cooper,0.9538
browsAU10,Garry_vs_Cooper,0.9844
browsAU12,Garry_vs_Cooper,0.9449
browsAU14,Garry_vs_Cooper,0.9526
browsAU15,Garry_vs_Cooper,0.8341
browsAU17,Garry_vs_Cooper,0.8923
browsAU23,Garry_vs_Cooper,0.9245
AU01,Ada_vs_Pia,0.9684
AU02,Ada_vs_Pia,0.9554
AU04,Ada_vs_Pia,0.9465
AU06,Ada_vs_Pia,0.8313
AU07,Ada_vs_Pia,0.5116
AU10,Ada_vs_Pia,0.9616
AU12,Ada_vs_Pia,0.9853
AU14,Ada_vs_Pia,0.9539
AU15,Ada_vs_Pia,0.8884
AU17,Ada_vs_Pia,0.8962
AU23,Ada_vs_Pia,0.8481
browsAll,Ada_vs_Pia,0.9501
browsAU10,Ada_vs_Pia,0.9827
browsAU12,Ada_vs_Pia,0.9387
browsAU14,Ada_vs_Pia,0.9035
browsAU15,Ada_vs_Pia,0.8953
browsAU17,Ada_vs_Pia,0.9126
browsAU23,Ada_vs_Pia,0.9133
AU01,Garry_vs_Pia,0.9422
AU02,Garry_vs_Pia,0.9773
AU04,Garry_vs_Pia,0.8672
AU06,Garry_vs_Pia,0.5839
AU07,Garry_vs_Pia,0.7766
AU10,Garry_vs_Pia,0.9408
AU12,Garry_vs_Pia,0.9709
AU14,Garry_vs_Pia,0.8877
AU15,Garry_vs_Pia,0.7999
AU17,Garry_vs_Pia,0.4652
AU23,Garry_vs_Pia,0.8298
browsAll,Garry_vs_Pia,0.8502
browsAU10,Garry_vs_Pia,0.9588
browsAU12,Garry_vs_Pia,0.8615
browsAU14,Garry_vs_Pia,0.8477
browsAU15,Garry_vs_Pia,0.6391
browsAU17,Garry_vs_Pia,0.8266
browsAU23,Garry_vs_Pia,0.8448
AU01,Cooper_vs_Pia,0.9703
AU02,Cooper_vs_Pia,0.9858
AU04,Cooper_vs_Pia,0.9304
AU06,Cooper_vs_Pia,0.7385
AU07,Cooper_vs_Pia,0.7460
AU10,Cooper_vs_Pia,0.9567
AU12,Cooper_vs_Pia,0.9862
AU14,Cooper_vs_Pia,0.9619
AU15,Cooper_vs_Pia,0.8680
AU17,Cooper_vs_Pia,0.8518
AU23,Cooper_vs_Pia,0.8696
browsAll,Cooper_vs_Pia,0.9176
browsAU10,Cooper_vs_Pia,0.9826
browsAU12,Cooper_vs_Pia,0.9509
browsAU14,Cooper_vs_Pia,0.9164
browsAU15,Cooper_vs_Pia,0.8918
browsAU17,Cooper_vs_Pia,0.9118
browsAU23,Cooper_vs_Pia,0.9341
